date,1. open,2. high,3. low,4. close,5. volume
2020-08-19 17:55:00,484.06,484.06,484.06,484.06,320.0
2020-08-19 17:25:00,484.0,484.0,484.0,484.0,202.0
2020-08-19 16:36:00,484.53,484.53,483.8,483.8,1766.0
2020-08-19 16:35:00,484.5327,484.5327,484.5327,484.5327,152.0
2020-08-19 16:27:00,484.943,484.943,484.943,484.943,120.0
2020-08-19 16:24:00,484.53,484.5395,484.53,484.53,1084.0
2020-08-19 16:21:00,485.0,486.9434,485.0,486.9434,1506.0
2020-08-19 16:20:00,485.0,485.0,485.0,485.0,1013.0
2020-08-19 16:18:00,484.53,485.2587,484.53,485.2587,3181.0
2020-08-19 16:08:00,485.33,485.33,485.33,485.33,501.0
2020-08-19 16:01:00,484.53,484.53,484.53,484.53,39248.0
2020-08-19 16:00:00,484.63,484.943,484.25,484.54,47027.0
2020-08-19 15:59:00,484.46,484.79,484.46,484.71,26997.0
2020-08-19 15:58:00,484.44,484.6636,484.44,484.5,17646.0
2020-08-19 15:57:00,484.51,484.51,484.22,484.405,14915.0
2020-08-19 15:56:00,484.2,484.53,484.14,484.48,12886.0
2020-08-19 15:55:00,484.44,484.44,484.21,484.3,8614.0
2020-08-19 15:54:00,484.4,484.5,484.06,484.33,18628.0
2020-08-19 15:53:00,483.96,484.28,483.8,484.28,13090.0
2020-08-19 15:52:00,484.17,484.34,483.67,483.88,11862.0
2020-08-19 15:51:00,483.79,484.15,483.5,484.15,18575.0
2020-08-19 15:50:00,483.92,484.15,483.74,484.035,15307.0
2020-08-19 15:49:00,484.17,484.3,483.9001,483.905,18337.0
2020-08-19 15:48:00,484.46,484.46,484.15,484.15,17876.0
2020-08-19 15:47:00,484.77,484.84,484.3302,484.3302,6067.0
2020-08-19 15:46:00,485.4,485.4,484.84,484.95,7916.0
2020-08-19 15:45:00,484.99,485.645,484.93,485.46,10300.0
2020-08-19 15:44:00,484.65,484.96,484.54,484.92,7668.0
2020-08-19 15:43:00,484.505,484.86,484.505,484.65,8898.0
2020-08-19 15:42:00,484.76,484.76,484.4,484.43,7193.0
2020-08-19 15:41:00,484.64,484.84,484.5,484.84,4792.0
2020-08-19 15:40:00,484.96,484.96,484.57,484.7043,7565.0
2020-08-19 15:39:00,485.11,485.13,484.9501,485.055,5159.0
2020-08-19 15:38:00,485.23,485.3,485.04,485.3,5355.0
2020-08-19 15:37:00,485.1,485.3,485.1,485.3,2652.0
2020-08-19 15:36:00,485.26,485.33,485.1,485.1,3980.0
2020-08-19 15:35:00,485.32,485.32,485.11,485.19,4156.0
2020-08-19 15:34:00,485.29,485.45,485.27,485.365,3726.0
2020-08-19 15:33:00,485.24,485.41,485.07,485.07,3744.0
2020-08-19 15:32:00,485.34,485.5,485.21,485.42,3934.0
2020-08-19 15:31:00,484.74,485.28,484.74,485.28,11031.0
2020-08-19 15:30:00,484.77,484.95,484.52,484.83,7186.0
2020-08-19 15:29:00,485.0,485.03,484.5836,484.71,10209.0
2020-08-19 15:28:00,485.265,485.28,484.9137,485.055,6737.0
2020-08-19 15:27:00,485.58,485.67,485.08,485.3,9308.0
2020-08-19 15:26:00,485.26,485.55,485.17,485.3001,7476.0
2020-08-19 15:25:00,485.39,485.61,485.32,485.34,6051.0
2020-08-19 15:24:00,485.5852,485.745,485.44,485.44,3181.0
2020-08-19 15:23:00,485.48,485.73,485.48,485.5895,2689.0
2020-08-19 15:22:00,485.5611,485.5611,485.35,485.4632,3780.0
2020-08-19 15:21:00,485.5,485.755,485.5,485.67,4600.0
2020-08-19 15:20:00,485.88,485.88,485.625,485.625,7469.0
2020-08-19 15:19:00,485.79,485.94,485.7,485.8887,5578.0
2020-08-19 15:18:00,485.86,486.06,485.77,486.06,1790.0
2020-08-19 15:17:00,485.91,485.99,485.895,485.99,1920.0
2020-08-19 15:16:00,486.04,486.04,485.81,486.01,3260.0
2020-08-19 15:15:00,486.14,486.14,485.94,485.94,1385.0
2020-08-19 15:14:00,486.02,486.09,485.77,486.09,4342.0
2020-08-19 15:13:00,486.38,486.38,485.94,485.94,2983.0
2020-08-19 15:12:00,486.29,486.3784,486.1101,486.19,3526.0
2020-08-19 15:11:00,486.17,486.17,486.155,486.155,1322.0
2020-08-19 15:10:00,486.22,486.41,486.12,486.12,4446.0
